"h3_id","centroid_lat","centroid_lon","pop_census_2022","pop_ambient_2022"
"89a8100db43ffff",-23.4840917502829,-46.5962325661761,793.97307646441,55806.6032674476
"89a81001d73ffff",-23.6621790270762,-46.6290264894575,0.286441729017612,21554.8526886475
"89a810103c7ffff",-23.8426865209989,-46.6346140179782,0,NA
"89a8100d453ffff",-23.5750195193368,-46.556050464608,358.984037478425,59106.8197820471
"89a8100756bffff",-23.6731630106087,-46.7548433756247,1291.55409248691,50191.4526710096
"89a8103b6c3ffff",-23.5403503769792,-46.7080626792149,292.245718504284,81388.0574433123
"89a8108f437ffff",-23.9881835828194,-46.758104350893,0.0265324526962585,NA
"89a81012c4bffff",-23.885923290831,-46.6907598377042,2.37214318288198,209.550596147106
"89a81046da3ffff",-23.5917171137008,-46.4248777642617,83.8852766932452,16002.3873544151
"89a8100cd63ffff",-23.5166688055416,-46.6890022422909,124.951096572859,77647.1941317624
"89a81075013ffff",-23.4042551765998,-46.5602234650132,0.260078632373212,2934.42238612233
"89a810154cfffff",-23.7944928400554,-46.7155977375083,15.2252595330513,6546.41783859601
"89a8101255bffff",-23.9220384683017,-46.6703980162536,0.432771893654831,NA
"89a8100c673ffff",-23.5666398002581,-46.6047824675574,41.277480818944,62979.3182440216
"89a810008a3ffff",-23.6657447551743,-46.6842304058371,613.500397173259,67392.8477820935
"89a810771a7ffff",-23.4416613294329,-46.6164079231369,72.6015979350157,4933.72262372576
"89a8100900fffff",-23.6304472459824,-46.4168199148013,0.666805535274994,4578.1006854939
"89a81017663ffff",-23.8264434321894,-46.7196084827201,246.874461014073,15424.5186609167
"89a810001b3ffff",-23.7019502741223,-46.663875017183,0.0497045360888551,18223.0902195802
"89a8100e807ffff",-23.5654515397978,-46.6965649047472,609.248617884097,189227.728792382
"89a8102b4afffff",-23.3913051276459,-46.7403670014152,16.455590035653,5837.99222555027
"89a81039b03ffff",-23.4030193169128,-46.7529496065367,225.418956651217,18739.9883764694
"89a81002a37ffff",-23.7024824336156,-46.6853183329471,252.679799266489,42384.238356248
"89a8108d877ffff",-23.8685776400963,-46.7667819430921,119.905735463768,107.272212770107
